AmericanStudies	American Studies	1	0	0	0	1
Anthropology	Anthropology	9	0	1	0	10
Archaeology	Art History & Archaeology	1	0	0	0	1
Architecture	Architecture, Planning And Preservation	1	0	0	0	1
Art History	Art History & Archaeology	5	0	0	0	5
Astronomy	Astronomy	1	0	0	0	1
BiologicalSciences	Biological Sciences	5	0	0	0	5
ClassicalStudies	Classics	1	0	0	0	1
ComparativeLiterature and Society	Center for Comparative Literature and Society	2	0	0	0	2
ComputerScience	Computer Science	10	0	1	0	11
Dance	Dance (Barnard)	3	0	0	1	4
Drama andTheatre Arts	Theater (BARNARD)	1	0	0	0	1
East AsianStudies	East Asian Languages & Cultures	2	0	0	0	2
Economics	Economics	29	0	0	2	31
Economics-Mathematics	Economics-Mathematics **	0	3	0	0	3
Economics-Philosophy	Economics-Philosophy **	0	2	0	0	2
English	English & Comparative Literature	0	0	1	0	1
EnglishLiterature	English & Comparative Literature	21	0	0	4	25
EnvironmentalBiology	Ecology, Evolution, and Environmental Biology	5	0	1	0	6
EnvironmentalScience	Earth and Environmental Sciences	2	0	0	0	2
Film Studies	Film (School Of The Arts)	9	0	0	0	9
French	French & Romance Philology	2	0	0	0	2
German	Germanic Languages	0	0	1	0	1
History	History	20	0	0	0	20
Latin AmericanStudies	General Studies	1	0	0	0	1
Literature/Writing	Writing: Undergraduate (School Of The Arts)	24	0	0	0	24
Mathematics	Mathematics	4	0	1	0	5
Mathematics-Statistics	Mathematics-Statistics **	0	1	0	0	1
Middle East andAsian Languages and Cultures	Middle East and Asian Languages and Cultures	2	0	0	0	2
Music	Music	2	0	0	0	2
Neuroscienceand Behavior	Biological Sciences-Psychology **	0	5	0	0	5
Philosophy	Philosophy	13	0	0	0	13
Physics	Physics	3	0	0	0	3
PoliticalScience	Political Science	26	0	0	1	27
Psychology	Psychology	15	0	1	0	16
Religion	Religion	2	0	0	0	2
Russian Studies	Slavic Languages	2	0	0	0	2
Sociology	Sociology	6	0	0	0	6
SpanishLanguage and Literature	Spanish & Portuguese	1	0	0	0	1
Urban Studies	Urban Studies	2	0	0	0	2
Visual Arts	Visual Arts (School of The Arts)	1	0	0	0	1
Women's Studies	Women's and Gender Studies	4	0	0	0	4
Grand Totals	Grand Totals	238	11	7	8	264
NA	NA	NA	NA	NA	Total Number of Degrees	243
