AppliedMathematics	Applied Physics And Applied Mathematics	34	0	0	0	34
AppliedMathematics	Engineering	0	0	0	9	9
Applied Physics	Applied Physics And Applied Mathematics	15	0	0	0	15
Architecture	Engineering	0	0	0	3	3
BiomedicalEngineering	Biomedical Engineering	38	0	0	0	38
BiomedicalEngineering	Engineering	0	0	0	3	3
ChemicalEngineering	Chemical Engineering	29	0	0	0	29
CivilEngineering	Civil Engineering & Engineering Mechanics	41	0	0	0	41
CivilEngineering	Engineering	0	0	0	2	2
ComputerEngineering	Computer Science-Electrical Engineering **	0	10	0	0	10
ComputerScience	Computer Science	22	0	0	0	22
ComputerScience	Engineering	0	0	0	5	5
Earth andEnvironmental Engineering	Earth & Environ. Engineering	15	0	0	0	15
Earth andEnvironmental Engineering	Engineering	0	0	0	1	1
East AsianLanguages and Cultures	Engineering	0	0	0	3	3
Economics	Engineering	0	0	0	88	88
ElectricalEngineering	Electrical Engineering	30	0	0	0	30
English andComparative Literature	Engineering	0	0	0	2	2
German	Engineering	0	0	0	2	2
Greek Or Latin	Engineering	0	0	0	1	1
History	Engineering	0	0	0	2	2
IndustrialEngineering	Engineering	0	0	0	1	1
IndustrialEngineering	Industrial Engineering & Operations Research	12	0	0	0	12
MaterialsScience and Engineering	Applied Physics And Applied Mathematics	8	0	0	0	8
MaterialsScience and Engineering	Engineering	0	0	0	3	3
MechanicalEngineering	Engineering	0	0	0	1	1
MechanicalEngineering	Mechanical Engineering	38	0	0	0	38
Music	Engineering	0	0	0	1	1
OperationsResearch	Engineering	0	0	0	1	1
OperationsResearch	Industrial Engineering & Operations Research	19	0	0	0	19
OperationsResearch: Financial Engineering	Industrial Engineering & Operations Research	20	0	0	0	20
OperationsResearch:Engineering and Management Systems	Industrial Engineering & Operations Research	36	0	0	0	36
Philosophy	Engineering	0	0	0	3	3
PoliticalScience	Engineering	0	0	0	3	3
Psychology	Engineering	0	0	0	3	3
Spanish	Engineering	0	0	0	1	1
Statistics	Engineering	0	0	0	1	1
NA	Grand Totals	357	10	0	139	506
NA	NA	NA	NA	NA	Total Number of Degrees	366
