americanstudies	American Studies	1	0	0	0	1
anthropology	Anthropology	8	0	0	0	8
archaeology	Art History & Archaeology	1	0	0	0	1
architecture	Architecture, Planning And Preservation	1	0	0	0	1
arthistory	Art History & Archaeology	8	0	2	1	11
arthistoryandvisualarts	NA	0	1	0	0	1
astronomy	Astronomy	1	0	0	0	1
astrophysics	Astronomy-Physics **	0	1	0	0	1
biologicalsciences	Biological Sciences	7	0	0	0	7
comparativeliteratureandsociety	Center for Comparative Literature and Society	5	0	0	0	5
computerscience	Computer Science	4	0	0	0	4
dance	Dance (Barnard)	0	0	1	0	1
eastasianstudies	East Asian Languages & Cultures	2	0	0	0	2
economics	Economics	18	0	0	0	18
economicsmathematics	Economics-Mathematics **	0	3	0	0	3
economicsoperationsresearch	Economics-Industrial Engineering & OperationsResearch **	0	1	0	0	1
economicsphilosophy	Economics-Philosophy **	0	1	0	0	1
economicspoliticalscience	Economics-Political Science **	0	5	0	0	5
englishliterature	English & Comparative Literature	17	0	0	1	18
environmentalbiology	Ecology, Evolution, and Environmental Biology	3	0	0	0	3
filmstudies	Film (School Of The Arts)	8	0	0	0	8
french	French & Romance Philology	2	0	0	0	2
hispanicstudies	Spanish & Portuguese	1	0	0	0	1
history	History	32	0	2	0	34
latinamericanstudies	Spanish & Portuguese	3	0	0	0	3
literature/writing	Writing: Undergraduate (School Of The Arts)	18	0	0	0	18
mathematics	Mathematics	2	0	1	0	3
middleeastandasianlanguagesandcultures	Middle East and Asian Languages and Cultures	6	0	0	0	6
music	Music	1	0	0	0	1
neuroscienceandbehavior	Biological Sciences-Psychology **	0	3	0	0	3
philosophy	Philosophy	8	0	0	0	8
physics	Physics	1	0	0	0	1
politicalscience	Political Science	38	0	1	0	39
psychology	Psychology	13	0	1	0	14
religion	Religion	4	0	0	0	4
sociology	Sociology	9	0	0	0	9
spanishlanguageandliterature	Spanish & Portuguese	1	0	0	0	1
theatrearts	Drama And Theatre Arts	2	0	0	0	2
urbanstudies	Urban Studies	1	0	0	0	1
visualarts	Visual Arts (School of The Arts)	2	0	1	0	3
women'sstudies	Women's and Gender Studies	1	0	0	0	1
writing	Writing: Undergraduate (School Of The Arts)	0	0	4	0	4
Grand Totals	Grand Totals	229	15	13	2	259
NA	NA	NA	NA	NA	Total Number of Degrees	239
