Program Description	Offering Unit(s)	Major	Interdepartmental Major	Concentration	Minor	Totals
appliedmathematics	Applied Physics And Applied Mathematics	39	0	0	0	39
appliedmathematics	Engineering	0	0	0	4	4
appliedphysics	Applied Physics And Applied Mathematics	8	0	0	0	8
architecture	Engineering	0	0	0	3	3
arthistory	Engineering	0	0	0	3	3
biomedicalengineering	Biomedical Engineering	30	0	0	0	30
biomedicalengineering	Engineering	0	0	0	3	3
chemicalengineering	Chemical Engineering	37	0	0	0	37
civilengineering	Civil Engineering & Engineering Mechanics	30	0	0	0	30
civilengineering	Engineering	0	0	0	1	1
computerengineering	Computer Science-Electrical Engineering **	0	5	0	0	5
computerscience	Computer Science	40	0	0	0	40
computerscience	Engineering	0	0	0	11	11
earthandenvironmentalengineering	Earth & Environ. Engineering	17	0	0	0	17
earthandenvironmentalengineering	Engineering	0	0	0	3	3
eastasianlanguagesandcultures	Engineering	0	0	0	7	7
economics	Engineering	0	0	0	61	61
electricalengineering	Electrical Engineering	25	0	0	0	25
electricalengineering	Engineering	0	0	0	2	2
engineeringmechanics	Engineering	0	0	0	1	1
englishandcomparativeliterature	Engineering	0	0	0	2	2
entrepreneurship	Engineering	0	0	0	13	13
entrepreneurship	Industrial Engineering & Operations Research	0	0	0	1	1
history	Engineering	0	0	0	3	3
histpanistudies	Engineering	0	0	0	1	1
industrialengineering	Industrial Engineering & Operations Research	6	0	0	0	6
materialsscienceandengineering	Applied Physics And Applied Mathematics	4	0	0	0	4
materialsscienceandengineering	Engineering	0	0	0	4	4
mechanicalengineering	Mechanical Engineering	38	0	0	0	38
middleeastandasianlanguagesandcultures	Engineering	0	0	0	3	3
music	Engineering	0	0	0	4	4
operationsresearch	Engineering	0	0	0	2	2
operationsresearch	Industrial Engineering & Operations Research	15	0	0	0	15
operationsresearch:financialengineering	Industrial Engineering & Operations Research	16	0	0	0	16
operationsresearch:engineeringandmanagementsystems	Industrial Engineering & Operations Research	44	0	0	0	44
philosophy	Engineering	0	0	0	4	4
politicalscience	Engineering	0	0	0	2	2
psychology	Engineering	0	0	0	4	4
sociology	Engineering	0	0	0	1	1
statistics	Engineering	0	0	0	2	2
grandtotals	Grand Totals	349	5	0	145	499
NA	NA	NA	NA	NA	Total Number of Degrees	356
