African-AmericanStudies	Institute for Research in African American Studies	2	0	1	0	3
AmericanStudies	American Studies	2	0	1	0	3
Anthropology	Anthropology	16	0	1	0	17
AppliedMathematics	Mathematics	2	0	0	0	2
Archaeology	Archaeology	0	0	1	0	1
Architecture	Architecture (Barnard)	2	0	0	0	2
Art History	Art History & Archaeology	4	0	1	0	5
Art History andVisual Arts	NA	0	1	0	0	1
Biochemistry	Biological Sciences-Chemistry **	0	1	0	0	1
BiologicalSciences	Biological Sciences	5	0	0	0	5
Biophysics	Biological Sciences-Physics **	0	1	0	0	1
Chemistry	Chemistry	2	0	0	0	2
ClassicalStudies	Classics	1	0	0	0	1
ComparativeEthnic Studies	Center for the Study of Ethnicity and Race	2	0	0	0	2
ComparativeLiterature & Society	Center for Comparative Literature and Society	1	0	0	0	1
ComputerScience	Computer Science	7	0	0	0	7
CreativeWriting	Writing: Undergraduate (School Of The Arts)	15	0	0	0	15
Earth Sciences	Earth and Environmental Sciences	1	0	0	0	1
East AsianStudies	East Asian Languages & Cultures	4	0	0	0	4
Economics	Economics	26	0	0	0	26
Economics-Mathematics	Economics-Mathematics **	0	10	0	0	10
Economics-OperationsResearch	Economics-Industrial Engineering & OperationsResearch **	0	1	0	0	1
Economics-Philosophy	Economics-Philosophy **	0	1	0	0	1
Economics-PoliticalScience	Economics-Political Science **	0	4	0	0	4
Economics-Statistics	Economics-Statistics **	0	2	0	0	2
English	English & Comparative Literature	22	0	0	0	22
EnvironmentalBiology	Ecology, Evolution, and Environmental Biology	1	0	0	0	1
EvolutionaryBiology of the Human Species	Ecology, Evolution, and Environmental Biology	1	0	0	0	1
Film Studies	Film (School Of The Arts)	7	0	0	0	7
French	French & Romance Philology	2	0	0	0	2
French andFrancophone Studies	French & Romance Philology	1	0	0	0	1
GermanLiterature and Cultural History	Germanic Languages	2	0	0	0	2
HispanicStudies	Spanish & Portuguese	2	0	1	0	3
History	History	27	0	1	0	28
History/Theoryof Architecture	Art History & Archaeology	2	0	0	0	2
InformationSciences	Computer Science	1	0	0	0	1
ItalianCultural Studies	Italian	1	0	0	0	1
Linguistics	Slavic Languages	0	0	1	0	1
Mathematics	Mathematics	4	0	0	0	4
Mathematics-Statistics	Mathematics-Statistics **	0	2	0	0	2
Middle East andAsian Languages and Cultures	Middle East and Asian Languages and Cultures	8	0	0	0	8
Music	Music	1	0	0	0	1
Neuroscienceand Behavior	Biological Sciences-Psychology **	0	8	0	0	8
Philosophy	Philosophy	14	0	0	0	14
PoliticalScience	Political Science	50	0	0	0	50
Pre-Medical	General Studies	0	0	2	0	2
Psychology	Psychology	17	0	2	0	19
RegionalStudies	Associated Institutes	1	0	0	0	1
Religion	Religion	4	0	0	0	4
RussianLanuages & Cultures	Slavic Languages	0	0	1	0	1
Sociology	Sociology	12	0	1	0	13
Theatre Arts	Drama And Theatre Arts	2	0	0	0	2
Urban Studies	Urban Studies	5	0	0	0	5
Visual Arts	Visual Arts (School of The Arts)	2	0	0	0	2
Women's Studies	Women's and Gender Studies	1	0	0	0	1
NA	Grand Totals	282	31	14	0	327
NA	NA	NA	NA	NA	Total Number of Degrees	307
