Program Description	Offering Units	Major	Interdepartmental Major	Concentration	Minor	Totals
appliedmathematics	Applied Physics And Applied Mathematics	33	0	0	0	33
appliedmathematics	Engineering	0	0	0	8	8
appliedphysics	Applied Physics And Applied Mathematics	16	0	0	0	16
architecture	Engineering	0	0	0	5	5
arthistory	Engineering	0	0	0	1	1
biomedicalengineering	Biomedical Engineering	54	0	0	0	54
biomedicalengineering	Engineering	0	0	0	3	3
chemicalengineering	Chemical Engineering	33	0	0	0	33
civilengineering	Civil Engineering & Engineering Mechanics	44	0	0	0	44
civilengineering	Engineering	0	0	0	2	2
computerengineering	Computer Science-Electrical Engineering **	0	11	0	0	11
computerscience	Applied Physics And Applied Mathematics	1	0	0	0	1
computerscience	Computer Science	17	0	0	0	17
computerscience	Engineering	0	0	0	7	7
dance	Engineering	0	0	0	1	1
earthandenvironmentalengineering	Earth & Environ. Engineering	14	0	0	0	14
earthandenvironmentalengineering	Engineering	0	0	0	5	5
eastasianlanguagesandcultures	Computer Science	0	0	0	1	1
eastasianlanguagesandcultures	Engineering	0	0	0	3	3
economics	Engineering	0	0	0	71	71
electricalengineering	Electrical Engineering	26	0	0	0	26
electricalengineering	Engineering	0	0	0	1	1
englishandcomparativeliterature	Engineering	0	0	0	3	3
entrepreneurship	Engineering	0	0	0	1	1
french	Engineering	0	0	0	3	3
history	Engineering	0	0	0	1	1
histpanistudies	Engineering	0	0	0	1	1
industrialengineering	Industrial Engineering & Operations Research	1	0	0	0	1
materialsscienceandengineering	Applied Physics And Applied Mathematics	6	0	0	0	6
materialsscienceandengineering	Engineering	0	0	0	2	2
mechanicalengineering	Mechanical Engineering	54	0	0	0	54
music	Engineering	0	0	0	7	7
operationsresearch	Engineering	0	0	0	2	2
operationsresearch	Industrial Engineering & Operations Research	27	0	0	0	27
operationsresearch:financialengineering	Industrial Engineering & Operations Research	23	0	0	0	23
operationsresearch:engineeringandmanagementsystems	Industrial Engineering & Operations Research	32	0	0	0	32
philosophy	Engineering	0	0	0	2	2
politicalscience	Engineering	0	0	0	1	1
psychology	Engineering	0	0	0	1	1
religion	Engineering	0	0	0	2	2
Grand Totals	Grand Totals	381	11	0	134	526
NA	NA	NA	NA	NA	Total Number of Degrees	392
