Program Description	Offering Units	Major	Interdepartmental Major	Concentration	Minor	Totals
africanamericanstudies	Institute for Research in African American Studies	2	0	0	0	2
americanstudies	American Studies	10	0	3	0	13
ancientstudies	Classics	3	0	0	0	3
anthropology	Anthropology	40	0	13	0	53
appliedmathematics	Mathematics	2	0	0	0	2
archaeology	Archaeology	1	0	1	0	2
architecture	Architecture (Barnard)	10	0	0	0	10
arthistory	Art History & Archaeology	24	0	13	0	37
arthistoryandvisualarts	Art History & Archaeology	1	0	0	0	1
arthistoryandvisualarts	NA	0	2	0	0	2
astrophysics	Astronomy-Physics **	0	5	0	0	5
biochemistry	Biological Sciences-Chemistry **	0	18	0	0	18
biology	Biological Sciences	38	0	5	0	43
biophysics	Biological Sciences-Physics **	0	3	0	0	3
chemistry	Chemistry	2	0	0	0	2
classics	Classics	3	0	0	0	3
comparativeethnicstudies	Center for the Study of Ethnicity and Race	3	0	2	0	5
comparativeliteratureandsociety	Center for Comparative Literature and Society	13	0	0	0	13
computerscience	Computer Science	6	0	8	0	14
computerscienceandmathematics	Computer Science-Mathematics **	0	3	0	0	3
creativewriting	Writing: Undergraduate (School Of The Arts)	15	0	0	0	15
dance	Dance (Barnard)	0	0	1	0	1
dramaandtheatrearts	Drama And Theatre Arts	7	0	0	0	7
eastasianstudies	East Asian Languages & Cultures	19	0	2	0	21
economics	Economics	115	0	25	0	140
economicsmathematics	Economics-Mathematics **	0	18	0	0	18
economicsoperationsresearch	Economics-Industrial Engineering & Operations Research**	0	4	0	0	4
economicsphilosophy	Economics-Philosophy **	0	16	0	0	16
economicspoliticalscience	Economics-Political Science **	0	22	0	0	22
economicsstatistics	Economics-Statistics **	0	1	0	0	1
english	English & Comparative Literature	102	0	9	0	111
environmentalbiology	Ecology, Evolution, and Environmental Biology	13	0	1	0	14
environmentalscience	Earth and Environmental Sciences	8	0	5	0	13
evolutionarybiologyofthehumanspecies	Ecology, Evolution, and Environmental Biology	13	0	1	0	14
filmstudies	Film (School Of The Arts)	12	0	0	0	12
french	French & Romance Philology	11	0	4	0	15
frenchandfrancophonestudies	French & Romance Philology	7	0	0	0	7
germanliteratureandculturalhistory	Germanic Languages	5	0	4	0	9
hispanicstudies	Spanish & Portuguese	15	0	12	0	27
hispanicstudieswithspecialization	Spanish & Portuguese	2	0	0	0	2
history	History	112	0	25	0	137
historyandtheoryofarchitecture	Art History & Archaeology	4	0	1	0	5
italianculturalstudies	Italian	0	0	1	0	1
italianliterature	Italian	2	0	0	0	2
latinostudies	Latino Studies	2	0	3	0	5
linguistics	Columbia College	3	0	0	0	3
mathematics	Mathematics	24	0	22	0	46
mathematicsstatistics	Mathematics-Statistics **	0	2	0	0	2
middleeastandasianlanguagesandcultures	Middle East and Asian Languages and Cultures	12	0	1	0	13
music	Music	17	0	2	0	19
neuroscienceandphilosophy	Columbia College	1	0	0	0	1
neuroscienceandbehavior	Biological Sciences-Psychology **	0	44	0	0	44
philosophy	Philosophy	22	0	8	0	30
physics	Physics	9	0	3	0	12
politicalscience	Political Science	128	0	23	0	151
portuguese	Spanish & Portuguese	0	0	1	0	1
psychology	Psychology	58	0	32	0	90
regionalstudies	Associated Institutes	2	0	0	0	2
religion	Religion	9	0	2	0	11
russian	Slavic Languages	1	0	0	0	1
russianlanuagesandcultures	Slavic Languages	1	0	1	0	2
russianliterature	Slavic Languages	0	0	1	0	1
sociology	Sociology	8	0	4	0	12
statistics	Statistics	2	0	1	0	3
urbanstudies	Urban Studies	19	0	0	0	19
visualarts	Visual Arts (School of The Arts)	13	0	2	0	15
women'sandgenderstudies	Women's and Gender Studies	1	0	3	0	4
Grand Totals	Grand Totals	952	138	245	0	1335
NA	NA	NA	NA	NA	Total Number of Degrees	1053
