Program Description	Offering Unit(s)	Major	Interdepartmental Major	Concentration	Minor	Totals
anthropology	Anthropology (A&S)	0	0	0	1	1
appliedmathematics	Applied Physics And AppliedMathematics	30	0	0	11	41
appliedphysics	Applied Physics And AppliedMathematics	16	0	0	0	16
architecture	Architecture (Barnard)	0	0	0	5	5
arthistory	Art History& Archaeology (A&S)	0	0	0	2	2
biomedicalengineering	Biomedical Engineering	42	0	0	0	42
chemicalengineering	Chemical Engineering	32	0	0	0	32
civilengineering	Civil Engineering &Engineering Mechanics	45	0	0	1	46
computerengineering	Computer Science-ElectricalEngineering **	0	16	0	0	16
computerscience	ComputerScience	43	0	0	17	60
dance	Dance (Barnard)	0	0	0	2	2
earthandenvironmentalengineering	Earth & Environ.Engineering	22	0	0	4	26
eastasianlanguagesandcultures	East Asian Languages &Cultures (A&S)	0	0	0	3	3
economics	Economics (A&S)	0	0	0	54	54
electricalengineering	ElectricalEngineering	34	0	0	1	35
engineeringmechanics	Civil Engineering &Engineering Mechanics	1	0	0	0	1
englishandcomparativeliterature	English & ComparativeLiterature (A&S)	0	0	0	1	1
entrepreneurship	Columbia College (A&S)	0	0	0	9	9
french	French & Romance Philology(A&S)	0	0	0	3	3
history	History(A&S)	0	0	0	4	4
hispanicstudies	Latin American and IberianCultures (A&S)	0	0	0	2	2
industrialengineering	Industrial Engineering &Operations Research	2	0	0	0	2
materialsscienceandengineering	Applied Physics And AppliedMathematics	9	0	0	0	9
mechanicalengineering	Mechanical Engineering	61	0	0	6	67
music	Music (A&S)	0	0	0	1	1
operationsresearch	Industrial Engineering &Operations Research	16	0	0	0	16
operationsresearch:financialengineering	Industrial Engineering &Operations Research	27	0	0	0	27
operationsresearch:engineeringandmanagementsystems	Industrial Engineering &Operations Research	35	0	0	0	35
philosophy	Philosophy (A&S)	0	0	0	1	1
politicalscience	Political Science (A&S)	0	0	0	2	2
psychology	Psychology (A&S)	0	0	0	1	1
spanish	(A&S)	0	0	0	1	1
statistics	Statistics (A&S)	0	0	0	2	2
sustainableengineering	Engineering	0	0	0	2	2
grandtotals	Grand Totals	415	16	0	136	567
NA	NA	NA	NA	NA	Total Number of Degrees	431
