Program Description	Offering Units	Major	Interdepartmental Major	Concentration	Minor	Totals
appliedmathematics	Applied Physics And Applied Mathematics	26	0	0	0	26
appliedmathematics	Engineering	0	0	0	5	5
appliedphysics	Applied Physics And Applied Mathematics	13	0	0	0	13
architecture	Engineering	0	0	0	3	3
biomedicalengineering	Biomedical Engineering	67	0	0	0	67
biomedicalengineering	Engineering	0	0	0	4	4
chemicalengineering	Chemical Engineering	32	0	0	0	32
chemicalengineering	Engineering	0	0	0	1	1
civilengineering	Civil Engineering & Engineering Mechanics	37	0	0	0	37
civilengineering	Engineering	0	0	0	2	2
computerengineering	Computer Science	2	0	0	0	2
computerengineering	Computer Science-Electrical Engineering **	0	18	0	0	18
computerscience	Computer Science	33	0	0	0	33
computerscience	Engineering	0	0	0	9	9
earthandenvironmentalengineering	Earth & Environ. Engineering	3	0	0	0	3
earthandenvironmentalengineering	Engineering	0	0	0	7	7
economics	Biomedical Engineering	0	0	0	1	1
economics	Engineering	0	0	0	73	73
economics	Industrial Engineering & Operations Research	0	0	0	1	1
electricalengineering	Electrical Engineering	25	0	0	0	25
englishandcomparativeliterature	Engineering	0	0	0	1	1
french	Engineering	0	0	0	1	1
history	Engineering	0	0	0	1	1
industrialengineering	Engineering	0	0	0	3	3
industrialengineering	Industrial Engineering & Operations Research	7	0	0	0	7
materialsscienceandengineering	Applied Physics And Applied Mathematics	5	0	0	0	5
materialsscienceandengineering	Engineering	0	0	0	2	2
mechanicalengineering	Engineering	0	0	0	3	3
mechanicalengineering	Mechanical Engineering	39	0	0	0	39
music	Engineering	0	0	0	1	1
operationsresearch	Engineering	0	0	0	1	1
operationsresearch	Industrial Engineering & Operations Research	29	0	0	0	29
operationsresearch:engineeringandmanagementsystems	Industrial Engineering & Operations Research	43	0	0	0	43
philosophy	Engineering	0	0	0	2	2
politicalscience	Engineering	0	0	0	2	2
psychology	Engineering	0	0	0	4	4
spanish	Engineering	0	0	0	2	2
Grand Totals	Grand Totals	361	18	0	129	508
NA	NA	NA	NA	NA	Total Number of Degrees	377
